N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
59,2145.021781950659,2187.0411901008115,-42.019408150152685,-0.019212902043338198,0.019212902043338198,0.6069098252938433,0.0011347138172941253,0.0006926292745533407,0.9999982121892401
60,2145.3443836050337,2187.0411901008115,-41.696806495777764,-0.019065396063187887,0.019065396063187887,0.6019046867053393,0.0011253559198320141,0.00015039551443694465,0.9999982415555232
61,2145.7637063600014,2187.0411901008115,-41.27748374081011,-0.01887366544701768,0.01887366544701768,0.5945956070229929,0.0011116904404451108,0.00019545708286844966,0.9999982840026908
62,2146.1853277328473,2187.0411901008115,-40.855862367964164,-0.018680883813661012,0.018680883813661012,0.5877183074269781,0.001098832242155948,0.00019649012218646,0.9999983234687678
63,2147.1929750574445,2187.0411901008115,-39.84821504336696,-0.0182201484012883,0.0182201484012883,0.5634679072126207,0.001053492287106084,0.0004695062032045682,0.99999845896827
64,2147.9089533462056,2187.0411901008115,-39.132236754605856,-0.017892775376947546,0.017892775376947546,0.5490451187623159,0.001026526605127633,0.0003334485055969189,0.9999985368485579
65,2148.323242331931,2187.0411901008115,-38.71794776888055,-0.01770334639517962,0.01770334639517962,0.5384992609911705,0.0010068094576546232,0.00019288014283840575,0.9999985925161079
66,2150.1838035729565,2187.0411901008115,-36.85738652785494,-0.016852625681986356,0.016852625681986356,0.5092050443222245,0.000952039290760444,0.0008660527449333145,0.9999987414843963
67,2150.3561982853694,2187.0411901008115,-36.68499181544212,-0.01677380013759646,0.01677380013759646,0.5057281084075996,0.0009455386096711886,8.017673285714294e-05,0.9999987586124232
68,2150.9603567752874,2187.0411901008115,-36.080833325524054,-0.01649755545932855,0.01649755545932855,0.4970096338720165,0.0009292380439051568,0.0002809574015690059,0.999998801045163
69,2152.2299216924166,2187.0411901008115,-34.81126840839488,-0.01591706117194357,0.01591706117194357,0.4751616065735518,0.0008883897046247964,0.000590231667045924,0.9999989041379331
70,2152.467058766171,2187.0411901008115,-34.5741313346407,-0.01580863291058867,0.01580863291058867,0.47072598528172116,0.0008800966097392632,0.00011018203555487691,0.9999989245021258
71,2153.4572463188997,2187.0411901008115,-33.583943781911785,-0.015355880782640283,0.015355880782640283,0.4589762359591735,0.0008581285967818491,0.000460024486180292,0.9999989775228529
72,2154.8921086203127,2187.0411901008115,-32.14908148049881,-0.014699806124372489,0.014699806124372489,0.43721954858475837,0.0008174510319222842,0.0006663063795976065,0.9999990721615775
73,2156.245076994888,2187.0411901008115,-30.79611310592327,-0.01408117654359483,0.01408117654359483,0.41320973793409804,0.0007725608970777392,0.0006278589861474727,0.9999991712676242
74,2156.4707122418927,2187.0411901008115,-30.57047785891882,-0.013978007363231086,0.013978007363231086,0.410002109714514,0.0007665637292781532,0.000104642672306485,0.9999991840841067
75,2156.7769075852893,2187.0411901008115,-30.264282515522154,-0.013838002984354916,0.013838002984354916,0.4016517050970052,0.0007509513283833477,0.00014198910361195774,0.9999992169807482
76,2157.4737246892764,2187.0411901008115,-29.567465411535068,-0.013519391196364325,0.013519391196364325,0.3910454300737902,0.0007311212213109556,0.00032308260605740525,0.9999992577885671
77,2157.59145503081,2187.0411901008115,-29.44973507000168,-0.013465560321085767,0.013465560321085767,0.390000864922751,0.0007291682417074795,5.456860965958873e-05,0.999999261748479
78,2157.827919937449,2187.0411901008115,-29.213270163362267,-0.013357439400588374,0.013357439400588374,0.38810765833512,0.0007256285928429434,0.00010959670149232935,0.9999992688985669
79,2158.1224300331023,2187.0411901008115,-28.918760067709172,-0.013222777969890985,0.013222777969890985,0.38391021691158617,0.0007177808128564181,0.0001364845143266254,0.9999992846269911
80,2158.629631882697,2187.0411901008115,-28.41155821811435,-0.012990865625537086,0.012990865625537086,0.3776007643532001,0.0007059842943306288,0.00023501996111825857,0.999999307947663
