N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
63,1412.3488477949893,2200.7887731415894,-788.4399253466001,-0.3582533385160427,0.3582533385160427,2.86446064590793,0.005239557668084471,1.0376290042712875e-05,0.9999698603689914
64,1412.350361299071,2200.7887731415894,-788.4384118425185,-0.35825265080620877,0.35825265080620877,2.8644588687434123,0.005239554417365705,1.0716219891769385e-06,0.9999698604063899
65,1413.014997917325,2200.7887731415894,-787.7737752242645,-0.35795065152923805,0.35795065152923805,2.8613604385130813,0.005233886891824537,0.000470589052452027,0.9999699255739665
66,1414.3332326873262,2200.7887731415894,-786.4555404542632,-0.3573516686617821,0.3573516686617821,2.8548156655305625,0.005221915452972543,0.0009329234098323305,0.9999700629947428
67,1414.2362898688991,2200.7887731415894,-786.5524832726903,-0.3573957177861734,0.3573957177861734,2.8546370791031435,0.005221588789771031,6.854312419918605e-05,0.9999700667401166
68,1414.5426429409215,2200.7887731415894,-786.246130200668,-0.35725651629816096,0.35725651629816096,2.8512021078438954,0.005215305676743538,0.00021662085340121943,0.9999701387338749
69,1414.5293438611652,2200.7887731415894,-786.2594292804242,-0.35726255916784416,0.35726255916784416,2.85116902315818,0.005215245159550194,9.401681753920225e-06,0.9999701394268772
70,1414.5759340937507,2200.7887731415894,-786.2128390478388,-0.35724138937946914,0.35724138937946914,2.8510282374081024,0.00521498763984664,3.2936914873949314e-05,0.9999701423757303
71,1430.5103636591152,2200.7887731415894,-770.2784094824742,-0.3500010627475687,0.3500010627475687,2.782013643317613,0.005088748884849905,0.01126445684626535,0.9999715704017783
72,1431.1484906462451,2200.7887731415894,-769.6402824953443,-0.34971110898421004,0.34971110898421004,2.7794019815413917,0.0050839717368358125,0.00044608344220424767,0.9999716237542444
73,1432.147095251585,2200.7887731415894,-768.6416778900045,-0.34925736048388745,0.34925736048388745,2.7789639213746664,0.005083170454573853,0.0006977644960439092,0.9999716326982715
74,1432.1224251149583,2200.7887731415894,-768.6663480266311,-0.34926857016331136,0.34926857016331136,2.7789590790452707,0.005083161597177207,1.722597958574127e-05,0.9999716327971312
75,1432.1247362222732,2200.7887731415894,-768.6640369193162,-0.34926752003649175,0.34926752003649175,2.778933805923147,0.005083115368585794,1.6137637916644173e-06,0.9999716333130974
76,1433.8110175951706,2200.7887731415894,-766.9777555464188,-0.34850130321755995,0.34850130321755995,2.7659692762911074,0.00505940116579383,0.0011774682262283497,0.9999718973732897
77,1449.2632533704827,2200.7887731415894,-751.5255197711067,-0.34148007702634564,0.34148007702634564,2.691328343014769,0.004922870934575708,0.010777037967827228,0.9999733936327567
78,1473.4308326744072,2200.7887731415894,-727.3579404671823,-0.3304987508768917,0.3304987508768917,2.6374985867470344,0.0048244076819467544,0.01667576904866595,0.999974447306699
79,1490.2103385085047,2200.7887731415894,-710.5784346330847,-0.32287443634072427,0.32287443634072427,2.5934537821900543,0.004743842674434613,0.01138805124882671,0.9999752936131745
80,1490.184587178235,2200.7887731415894,-710.6041859633544,-0.32288613729566545,0.32288613729566545,2.5933925459428515,0.004743730663522871,1.728033258411492e-05,0.9999752947798878
